ResourceID,GROUPID,ADDRESS_TYPE_E55,ADMINISTRATIVE_SUBDIVISION_E48,ADMINISTRATIVE_SUBDIVISION_TYPE_E55,ANCILLARY_FEATURE_TYPE_E55,BEGINNING_OF_EXISTENCE_TYPE_E55,COMPONENT_TYPE_E55,CONDITION_DESCRIPTION_E62,CONDITION_TYPE_E55,CONSTRUCTION_TECHNIQUE_E55,CULTURAL_PERIOD_E55,DATE_CONDITION_ASSESSED_E49,DATE_EVALUATED_E49,DESCRIPTION_E62,DESCRIPTION_OF_LOCATION_E62,DESCRIPTION_TYPE_E55,DESIGNATION_OR_PROTECTION_FROM_DATE_E49,END_DATE_OF_EXISTENCE_E49,END_OF_EXISTENCE_TYPE_E55,EXTERNAL_XREF_E42,EXTERNAL_XREF_TYPE_E55,FROM_DATE_E49,GEOMETRY_QUALIFIER_E55,HERITAGE_RESOURCE_TYPE_E55,HERITAGE_RESOURCE_USE_TYPE_E55,INTEGRITY_TYPE_E55,KEYWORD_E55,MANAGEMENT_RECOMMENDATION_E89,MATERIAL_E57,MODIFICATION_DESCRIPTION_E62,MODIFICATION_TYPE_E55,NAME_E41,NAME_TYPE_E55,PERIOD_OF_SIGNIFICANCE_FROM_DATE_E49,PERIOD_OF_SIGNIFICANCE_TO_DATE_E49,PLACE_ADDRESS_E45,REASONS_E62,RECOMMENDATION_TYPE_E55,RESOURCE_TYPE_CLASSIFICATION_E55,SETTING_TYPE_E55,SPATIAL_COORDINATES_GEOMETRY_E47,START_DATE_OF_EXISTENCE_E49,STATUS_E55,STYLE_E55,TO_DATE_E49,TYPE_OF_DESIGNATION_OR_PROTECTION_E55,UNIT_OF_MEASUREMENT_E55,VALUE_OF_MEASUREMENT_E60,PHOTO,EDTF
QV-10-ARP2016,PHASE_TYPE_ASSIGNMENT.E13-9,,,,,29adbea8-891a-44bf-b0c5-8912d118f629,,,,,18318a22-d882-473a-870d-58091fc397d8,,,,,,,,,,,,,233ca3eb-30fa-4b0e-a011-356fbad7f48f,,,,,,,,,,,,,,,,,,,,,,,,,,-1550~/-1295~
QV-10-ARP2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV10_image_1.jpg,
QV-10-ARP2016,RESOURCE_TYPE_CLASSIFICATION.E55-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0600b870-8ba1-49bc-840f-ccde8d1ef068,,,,,,,,,,,
QV-10-ARP2016,PLACE.E53-ARP2016A-10,,,,,,,,,,,,,,"QV 9 and QV 10 are on the south side of the main wadi, between the paved path and the higher footpath to the south.",,,,,,,,a54d76df-ab3a-4213-babc-2c23f7884944,,,,,,,,,,,,,,,,,,POINT (32.593627345274136 25.727654227887346),,,,,,,,,
QV-10-ARP2016,NAME.E41-2-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomb of Anonymous,ecb20ae9-a457-4011-83bf-1c936e2d6b6a,,,,,,,,,,,,,,,,,
QV-10-ARP2016,NAME.E41-1-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV 10,81dd62d2-6701-4195-b74b-8057456bba4b,,,,,,,,,,,,,,,,,
QV-10-ARP2016,DESCRIPTION.E62-9,,,,,,,,,,,,,"QV 9 and QV 10 have one chamber each and the shaft entrances have modern built surrounds with cement plaster and no metal grill or mesh.  QV 9 has a bench cut from the rock in the rear of the chamber. <br>E. Thomas recorded that QV 7-10 are all similar in layout. The last clearing of the tombs was conducted by the Franco-Egyptian team in 1985 (QV 10) and 1986-87 (QV 9). <br>One bat was seen in QV 9 by the assessment team, and bat urine and droppings were observed in areas of the ceiling of QV 10.",,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QV-10-ARP2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV10_TMP_drawing_1.jpg,
QV-10-ARP2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV10_image_3.jpg,
QV-10-ARP2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV10_image_2.jpg,
QV-11-ARP2016,PLACE.E53-ARP2016A-11,,,,,,,,,,,,,,"QV 11 lies on the south side of the wadi along the main visitor path, between QV 10 and QV 12 which it adjoins.",,,,,,,,a54d76df-ab3a-4213-babc-2c23f7884944,,,,,,,,,,,,,,,,,,POINT (32.59354947849706 25.727652274664457),,,,,,,,,
QV-11-ARP2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV11_TMP_drawing_1.jpg,
QV-11-ARP2016,NAME.E41-1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV 11,81dd62d2-6701-4195-b74b-8057456bba4b,,,,,,,,,,,,,,,,,
QV-11-ARP2016,RESOURCE_TYPE_CLASSIFICATION.E55-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0600b870-8ba1-49bc-840f-ccde8d1ef068,,,,,,,,,,,
QV-11-ARP2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV11_image_1.jpg,
QV-11-ARP2016,DESCRIPTION.E62-10,,,,,,,,,,,,,"Unlike most 18th dynasty tombs, QV 11 has a ramp with steps. The entrance has a large modern masonry surround on three sides, such that the ramp remains accessible. QV 11 has two pits  dug into the shaley marl floor of Chamber B. <br>The shaft tomb was recorded by E. Thomas as the 'first of the large shafts and large rooms' (1966, p. 187). She mentions that QV 11 is quite rough and that if there was an original  connection between the QV 11 and QV 12, the doorway would have been 'enlarged from natural causes' (ibid.). Thomas also mentions an 'excavation' in the rear of QV 11, but it is unclear if this refers to one of the two pits in the tomb later explored by the Franco-Egyptian team in 1985-6.",,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QV-11-ARP2016,NAME.E41-2-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomb of Anonymous,ecb20ae9-a457-4011-83bf-1c936e2d6b6a,,,,,,,,,,,,,,,,,
QV-11-ARP2016,PHASE_TYPE_ASSIGNMENT.E13-10,,,,,29adbea8-891a-44bf-b0c5-8912d118f629,,,,,18318a22-d882-473a-870d-58091fc397d8,,,,,,,,,,,,,233ca3eb-30fa-4b0e-a011-356fbad7f48f,,,,,,,,,,,,,,,,,,,,,,,,,,-1550~/-1295~
QV-12-ARP2016,DESCRIPTION.E62-11,,,,,,,,,,,,,"The entrance to QV 12 is in front of QV 16 with a cement-coated masonry surround and no protective metal grill or mesh. <br>The shaft tomb was recorded by E. Thomas as adjoining QV 11, although she questions whether the opening is original. The tomb was last cleared by the Franco-Egyptian team in 1986-7. Given the nature of the archaeological material, the individual originally interred in the tomb was likely of an elevated rank.",,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QV-12-ARP2016,NAME.E41-2-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomb of Anonymous,ecb20ae9-a457-4011-83bf-1c936e2d6b6a,,,,,,,,,,,,,,,,,
QV-12-ARP2016,PHASE_TYPE_ASSIGNMENT.E13-11,,,,,29adbea8-891a-44bf-b0c5-8912d118f629,,,,,68e65f16-1f44-49d4-a60a-13e5ead5c4ac,,,,,,,,,,,,,233ca3eb-30fa-4b0e-a011-356fbad7f48f,,,,,,,,,,,,,,,,,,,,,,,,,,-1492~/-1479~
QV-12-ARP2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV12_image_1.jpg,
QV-12-ARP2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV12_image_2.jpg,
QV-12-ARP2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV12_image_3.jpg,
QV-12-ARP2016,PLACE.E53-ARP2016A-12,,,,,,,,,,,,,,"QV 12 lies on the south side of the wadi along the main paved path, adjacent to QV 11, which it adjoins through the southeast corner of the chamber.",,,,,,,,a54d76df-ab3a-4213-babc-2c23f7884944,,,,,,,,,,,,,,,,,,POINT (32.59348808809856 25.727635205599636),,,,,,,,,
QV-12-ARP2016,RESOURCE_TYPE_CLASSIFICATION.E55-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0600b870-8ba1-49bc-840f-ccde8d1ef068,,,,,,,,,,,
QV-12-ARP2016,NAME.E41-1-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV 12,81dd62d2-6701-4195-b74b-8057456bba4b,,,,,,,,,,,,,,,,,
QV-12-ARP2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV12_TMP_drawing_1.jpg,
QV-13-ARP2016,NAME.E41-1-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV 13,81dd62d2-6701-4195-b74b-8057456bba4b,,,,,,,,,,,,,,,,,
QV-13-ARP2016,RESOURCE_TYPE_CLASSIFICATION.E55-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0600b870-8ba1-49bc-840f-ccde8d1ef068,,,,,,,,,,,
QV-13-ARP2016,PLACE.E53-ARP2016A-17,,,,,,,,,,,,,,"QV 13 is located on the south side of the wadi, adjacent to the secondary footpath to the south of the main visitor pathway.",,,,,,,,a54d76df-ab3a-4213-babc-2c23f7884944,,,,,,,,,,,,,,,,,,POINT (32.593647430573938 25.727524599483072),,,,,,,,,
