ResourceID,GROUPID,ADDRESS_TYPE_E55,ADMINISTRATIVE_SUBDIVISION_E48,ADMINISTRATIVE_SUBDIVISION_TYPE_E55,ANCILLARY_FEATURE_TYPE_E55,BEGINNING_OF_EXISTENCE_TYPE_E55,COMPONENT_TYPE_E55,CONDITION_DESCRIPTION_E62,CONDITION_TYPE_E55,CONSTRUCTION_TECHNIQUE_E55,CULTURAL_PERIOD_E55,DATE_CONDITION_ASSESSED_E49,DATE_EVALUATED_E49,DESCRIPTION_E62,DESCRIPTION_OF_LOCATION_E62,DESCRIPTION_TYPE_E55,DESIGNATION_OR_PROTECTION_FROM_DATE_E49,END_DATE_OF_EXISTENCE_E49,END_OF_EXISTENCE_TYPE_E55,EXTERNAL_XREF_E42,EXTERNAL_XREF_TYPE_E55,FROM_DATE_E49,GEOMETRY_QUALIFIER_E55,HERITAGE_RESOURCE_TYPE_E55,HERITAGE_RESOURCE_USE_TYPE_E55,INTEGRITY_TYPE_E55,KEYWORD_E55,MANAGEMENT_RECOMMENDATION_E89,MATERIAL_E57,MODIFICATION_DESCRIPTION_E62,MODIFICATION_TYPE_E55,NAME_E41,NAME_TYPE_E55,PERIOD_OF_SIGNIFICANCE_FROM_DATE_E49,PERIOD_OF_SIGNIFICANCE_TO_DATE_E49,PLACE_ADDRESS_E45,REASONS_E62,RECOMMENDATION_TYPE_E55,RESOURCE_TYPE_CLASSIFICATION_E55,SETTING_TYPE_E55,SPATIAL_COORDINATES_GEOMETRY_E47,START_DATE_OF_EXISTENCE_E49,STATUS_E55,STYLE_E55,TO_DATE_E49,TYPE_OF_DESIGNATION_OR_PROTECTION_E55,UNIT_OF_MEASUREMENT_E55,VALUE_OF_MEASUREMENT_E60,PHOTO
00ec679e-f765-44d2-b772-5e9e76f8c353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e58ea32-99ec-4f63-aafd-0a0e5611ea38.JPG
00ec679e-f765-44d2-b772-5e9e76f8c353,ADMINISTRATIVE_SUBDIVISION.E48-1-6060,fca22099-63d5-49eb-9e25-702d5efe663c,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass Community Plan Area,65d9bdc4-3b80-454b-b951-e8c730b74e81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3752 N KNOBHILL DR,,,,,POINT (-118.44782 34.13943),,,,,,,,
00ec679e-f765-44d2-b772-5e9e76f8c353,BEGINNING_OF_EXISTENCE.E63-0,,,,,29adbea8-891a-44bf-b0c5-8912d118f629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/1966,,,,,,,
00ec679e-f765-44d2-b772-5e9e76f8c353,EVALUATION_CRITERIA_ASSIGNMENT.E13-3-534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8d84f450-33ce-48df-8c11-264610a7f362,,,,,,
00ec679e-f765-44d2-b772-5e9e76f8c353,EXTERNAL_RESOURCE.E1-1,,,,,,,,,,,,,,,,,,,00ec679e-f765-44d2-b772-5e9e76f8c353,3a733e36-6b1d-411c-b51c-bc7c339dd84b,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ec679e-f765-44d2-b772-5e9e76f8c353,EXTERNAL_RESOURCE.E1-11-17497,,,,,,,,,,,,,,,,,,,162B149   391,2dd2db1d-9395-4c1c-9872-a5c5a4120473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ec679e-f765-44d2-b772-5e9e76f8c353,EXTERNAL_RESOURCE.E1-11-17498,,,,,,,,,,,,,,,,,,,162B149   398,2dd2db1d-9395-4c1c-9872-a5c5a4120473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ec679e-f765-44d2-b772-5e9e76f8c353,EXTERNAL_RESOURCE.E1-8,,,,,,,,,,,,,,,,,,,11931,5bb559cb-de0f-4d03-9111-83a1d6027da8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ec679e-f765-44d2-b772-5e9e76f8c353,MODIFICATION_EVENT.E11-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not fully visible from the pubic right-of-way.,18310916-7403-4f31-a8ef-600363ff4b5f,,,,,,,,,,,,,,,,,,
00ec679e-f765-44d2-b772-5e9e76f8c353,NAME.E41-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3752 N KNOBHILL DR,81dd62d2-6701-4195-b74b-8057456bba4b,,,,,,,,,,,,,,,,
