ResourceID,GROUPID,CREATOR_APPELLATION_E82,DATE_OF_CREATION_E50,DESCRIPTION_E62,DESCRIPTION_TYPE_E55,EXTERNAL_XREF_E42,EXTERNAL_XREF_TYPE_E55,FILE_PATH_E62,INFORMATION_CARRIER_FORMAT_TYPE_E55,INFORMATION_RESOURCE_TYPE_E55,THUMBNAIL_E62,TITLE_E41,TITLE_TYPE_E55
080dbb21-e80f-41dc-8d9c-b41cd6a416bb.JPG,DESCRIPTION.E62-0,,,Rindge-Hastings House on Harvard and landscape feature.,eb3bd719-c473-40b8-bf0a-cdb9ed89aba3,,,,,,,,
080dbb21-e80f-41dc-8d9c-b41cd6a416bb.JPG,EXTERNAL_RESOURCE.E1-0,,,,,080dbb21-e80f-41dc-8d9c-b41cd6a416bb.JPG,3a733e36-6b1d-411c-b51c-bc7c339dd84b,,,,,,
080dbb21-e80f-41dc-8d9c-b41cd6a416bb.JPG,FILE_PATH.E62-0,,,,,,,080dbb21-e80f-41dc-8d9c-b41cd6a416bb.JPG,,,,,
080dbb21-e80f-41dc-8d9c-b41cd6a416bb.JPG,INFORMATION_CARRIER.E84-0,,,,,,,,e2ca29d9-bf19-4025-a11c-99860f2fde88,,,,
080dbb21-e80f-41dc-8d9c-b41cd6a416bb.JPG,RESOURCE_CREATION_EVENT.E65-0,Architectural Resources Group,2011-06-08,,,,,,,4d4c617a-87f8-4fdc-b2c7-6331f1d5dc4c,,,
080dbb21-e80f-41dc-8d9c-b41cd6a416bb.JPG,THUMBNAIL.E62-1,,,,,,,,,,080dbb21-e80f-41dc-8d9c-b41cd6a416bb_thumbnail.JPG,,
080dbb21-e80f-41dc-8d9c-b41cd6a416bb.JPG,TITLE.E41-0-635,,,,,,,,,,,Sugar Hill Historic District - PHOTO,78e71e70-8009-40e2-a078-9a2ebf7a0e6f
0d3c908d-1ce0-4c46-bf9e-caf401acec70.jpg,EXTERNAL_RESOURCE.E1-0,,,,,0d3c908d-1ce0-4c46-bf9e-caf401acec70.jpg,3a733e36-6b1d-411c-b51c-bc7c339dd84b,,,,,,
0d3c908d-1ce0-4c46-bf9e-caf401acec70.jpg,FILE_PATH.E62-0,,,,,,,0d3c908d-1ce0-4c46-bf9e-caf401acec70.jpg,,,,,
0d3c908d-1ce0-4c46-bf9e-caf401acec70.jpg,INFORMATION_CARRIER.E84-0,,,,,,,,e2ca29d9-bf19-4025-a11c-99860f2fde88,,,,
0d3c908d-1ce0-4c46-bf9e-caf401acec70.jpg,RESOURCE_CREATION_EVENT.E65-0,,,,,,,,,4d4c617a-87f8-4fdc-b2c7-6331f1d5dc4c,,,
0d3c908d-1ce0-4c46-bf9e-caf401acec70.jpg,THUMBNAIL.E62-1,,,,,,,,,,0d3c908d-1ce0-4c46-bf9e-caf401acec70_thumbnail.jpg,,
0d3c908d-1ce0-4c46-bf9e-caf401acec70.jpg,TITLE.E41-0-2075,,,,,,,,,,,Adams House - PHOTO,78e71e70-8009-40e2-a078-9a2ebf7a0e6f
12684ff4-d8c2-45c9-8aa2-bdb6adf02616.jpg,EXTERNAL_RESOURCE.E1-0,,,,,12684ff4-d8c2-45c9-8aa2-bdb6adf02616.jpg,3a733e36-6b1d-411c-b51c-bc7c339dd84b,,,,,,
12684ff4-d8c2-45c9-8aa2-bdb6adf02616.jpg,FILE_PATH.E62-0,,,,,,,12684ff4-d8c2-45c9-8aa2-bdb6adf02616.jpg,,,,,
12684ff4-d8c2-45c9-8aa2-bdb6adf02616.jpg,INFORMATION_CARRIER.E84-0,,,,,,,,e2ca29d9-bf19-4025-a11c-99860f2fde88,,,,
12684ff4-d8c2-45c9-8aa2-bdb6adf02616.jpg,RESOURCE_CREATION_EVENT.E65-0,,,,,,,,,4d4c617a-87f8-4fdc-b2c7-6331f1d5dc4c,,,
12684ff4-d8c2-45c9-8aa2-bdb6adf02616.jpg,THUMBNAIL.E62-1,,,,,,,,,,12684ff4-d8c2-45c9-8aa2-bdb6adf02616_thumbnail.jpg,,
12684ff4-d8c2-45c9-8aa2-bdb6adf02616.jpg,TITLE.E41-0-1867,,,,,,,,,,,Stahl House - PHOTO,78e71e70-8009-40e2-a078-9a2ebf7a0e6f
17254404-ac91-4158-95ec-c7bc3de5d07a.JPG,EXTERNAL_RESOURCE.E1-0,,,,,17254404-ac91-4158-95ec-c7bc3de5d07a.JPG,3a733e36-6b1d-411c-b51c-bc7c339dd84b,,,,,,
17254404-ac91-4158-95ec-c7bc3de5d07a.JPG,FILE_PATH.E62-0,,,,,,,17254404-ac91-4158-95ec-c7bc3de5d07a.JPG,,,,,
17254404-ac91-4158-95ec-c7bc3de5d07a.JPG,INFORMATION_CARRIER.E84-0,,,,,,,,e2ca29d9-bf19-4025-a11c-99860f2fde88,,,,
17254404-ac91-4158-95ec-c7bc3de5d07a.JPG,RESOURCE_CREATION_EVENT.E65-0,Architectural Resources Group,2011-06-08,,,,,,,4d4c617a-87f8-4fdc-b2c7-6331f1d5dc4c,,,
17254404-ac91-4158-95ec-c7bc3de5d07a.JPG,THUMBNAIL.E62-1,,,,,,,,,,17254404-ac91-4158-95ec-c7bc3de5d07a_thumbnail.JPG,,
17254404-ac91-4158-95ec-c7bc3de5d07a.JPG,TITLE.E41-0-18998,,,,,,,,,,,2237 S HARVARD BLVD - PHOTO,78e71e70-8009-40e2-a078-9a2ebf7a0e6f
1bba4ee2-1bd4-4eaf-9cdf-042e7c558abb.jpg,EXTERNAL_RESOURCE.E1-0,,,,,1bba4ee2-1bd4-4eaf-9cdf-042e7c558abb.jpg,3a733e36-6b1d-411c-b51c-bc7c339dd84b,,,,,,
1bba4ee2-1bd4-4eaf-9cdf-042e7c558abb.jpg,FILE_PATH.E62-0,,,,,,,1bba4ee2-1bd4-4eaf-9cdf-042e7c558abb.jpg,,,,,
1bba4ee2-1bd4-4eaf-9cdf-042e7c558abb.jpg,INFORMATION_CARRIER.E84-0,,,,,,,,e2ca29d9-bf19-4025-a11c-99860f2fde88,,,,
1bba4ee2-1bd4-4eaf-9cdf-042e7c558abb.jpg,RESOURCE_CREATION_EVENT.E65-0,,,,,,,,,4d4c617a-87f8-4fdc-b2c7-6331f1d5dc4c,,,
1bba4ee2-1bd4-4eaf-9cdf-042e7c558abb.jpg,THUMBNAIL.E62-1,,,,,,,,,,1bba4ee2-1bd4-4eaf-9cdf-042e7c558abb_thumbnail.jpg,,
1bba4ee2-1bd4-4eaf-9cdf-042e7c558abb.jpg,TITLE.E41-0-2213,,,,,,,,,,,Richard and Dion Neutra VDL Research House and Landscape - PHOTO,78e71e70-8009-40e2-a078-9a2ebf7a0e6f
1d0a9e21-a2a3-4c25-8dc8-e038d4ce802a.JPG,EXTERNAL_RESOURCE.E1-0,,,,,1d0a9e21-a2a3-4c25-8dc8-e038d4ce802a.JPG,3a733e36-6b1d-411c-b51c-bc7c339dd84b,,,,,,
1d0a9e21-a2a3-4c25-8dc8-e038d4ce802a.JPG,FILE_PATH.E62-0,,,,,,,1d0a9e21-a2a3-4c25-8dc8-e038d4ce802a.JPG,,,,,
1d0a9e21-a2a3-4c25-8dc8-e038d4ce802a.JPG,INFORMATION_CARRIER.E84-0,,,,,,,,e2ca29d9-bf19-4025-a11c-99860f2fde88,,,,
1d0a9e21-a2a3-4c25-8dc8-e038d4ce802a.JPG,RESOURCE_CREATION_EVENT.E65-0,Architectural Resources Group,2011-06-08,,,,,,,4d4c617a-87f8-4fdc-b2c7-6331f1d5dc4c,,,
1d0a9e21-a2a3-4c25-8dc8-e038d4ce802a.JPG,THUMBNAIL.E62-1,,,,,,,,,,1d0a9e21-a2a3-4c25-8dc8-e038d4ce802a_thumbnail.JPG,,
1d0a9e21-a2a3-4c25-8dc8-e038d4ce802a.JPG,TITLE.E41-0-19004,,,,,,,,,,,2241 S HOBART BLVD - PHOTO,78e71e70-8009-40e2-a078-9a2ebf7a0e6f
1e58ea32-99ec-4f63-aafd-0a0e5611ea38.JPG,EXTERNAL_RESOURCE.E1-0,,,,,1e58ea32-99ec-4f63-aafd-0a0e5611ea38.JPG,3a733e36-6b1d-411c-b51c-bc7c339dd84b,,,,,,
1e58ea32-99ec-4f63-aafd-0a0e5611ea38.JPG,FILE_PATH.E62-0,,,,,,,1e58ea32-99ec-4f63-aafd-0a0e5611ea38.JPG,,,,,
1e58ea32-99ec-4f63-aafd-0a0e5611ea38.JPG,INFORMATION_CARRIER.E84-0,,,,,,,,e2ca29d9-bf19-4025-a11c-99860f2fde88,,,,
1e58ea32-99ec-4f63-aafd-0a0e5611ea38.JPG,RESOURCE_CREATION_EVENT.E65-0,Historic Resources Group,2012-08-13,,,,,,,4d4c617a-87f8-4fdc-b2c7-6331f1d5dc4c,,,
1e58ea32-99ec-4f63-aafd-0a0e5611ea38.JPG,THUMBNAIL.E62-1,,,,,,,,,,1e58ea32-99ec-4f63-aafd-0a0e5611ea38_thumbnail.JPG,,
1e58ea32-99ec-4f63-aafd-0a0e5611ea38.JPG,TITLE.E41-0-772,,,,,,,,,,,Platform House Historic District - PHOTO,78e71e70-8009-40e2-a078-9a2ebf7a0e6f
1ec23bd5-064e-4e29-8dfb-2a46a93498ee.jpg,EXTERNAL_RESOURCE.E1-0,,,,,1ec23bd5-064e-4e29-8dfb-2a46a93498ee.jpg,3a733e36-6b1d-411c-b51c-bc7c339dd84b,,,,,,
1ec23bd5-064e-4e29-8dfb-2a46a93498ee.jpg,FILE_PATH.E62-0,,,,,,,1ec23bd5-064e-4e29-8dfb-2a46a93498ee.jpg,,,,,
1ec23bd5-064e-4e29-8dfb-2a46a93498ee.jpg,INFORMATION_CARRIER.E84-0,,,,,,,,e2ca29d9-bf19-4025-a11c-99860f2fde88,,,,
1ec23bd5-064e-4e29-8dfb-2a46a93498ee.jpg,RESOURCE_CREATION_EVENT.E65-0,,,,,,,,,4d4c617a-87f8-4fdc-b2c7-6331f1d5dc4c,,,
1ec23bd5-064e-4e29-8dfb-2a46a93498ee.jpg,THUMBNAIL.E62-1,,,,,,,,,,1ec23bd5-064e-4e29-8dfb-2a46a93498ee_thumbnail.jpg,,
1ec23bd5-064e-4e29-8dfb-2a46a93498ee.jpg,TITLE.E41-0-1681,,,,,,,,,,,Headley/Handley House - PHOTO,78e71e70-8009-40e2-a078-9a2ebf7a0e6f
1edbe27b-f646-4d9b-8802-91e576b52084.jpg,EXTERNAL_RESOURCE.E1-0,,,,,1edbe27b-f646-4d9b-8802-91e576b52084.jpg,3a733e36-6b1d-411c-b51c-bc7c339dd84b,,,,,,
1edbe27b-f646-4d9b-8802-91e576b52084.jpg,FILE_PATH.E62-0,,,,,,,1edbe27b-f646-4d9b-8802-91e576b52084.jpg,,,,,
1edbe27b-f646-4d9b-8802-91e576b52084.jpg,INFORMATION_CARRIER.E84-0,,,,,,,,e2ca29d9-bf19-4025-a11c-99860f2fde88,,,,
1edbe27b-f646-4d9b-8802-91e576b52084.jpg,RESOURCE_CREATION_EVENT.E65-0,Architectural Resources Group,2012-02-17,,,,,,,4d4c617a-87f8-4fdc-b2c7-6331f1d5dc4c,,,
1edbe27b-f646-4d9b-8802-91e576b52084.jpg,THUMBNAIL.E62-1,,,,,,,,,,1edbe27b-f646-4d9b-8802-91e576b52084_thumbnail.jpg,,
1edbe27b-f646-4d9b-8802-91e576b52084.jpg,TITLE.E41-0-19242,,,,,,,,,,,Golden State Mutual Life Insurance - PHOTO,78e71e70-8009-40e2-a078-9a2ebf7a0e6f
24588b0f-42c3-4049-9c6e-01f7e62559c9.jpg,EXTERNAL_RESOURCE.E1-0,,,,,24588b0f-42c3-4049-9c6e-01f7e62559c9.jpg,3a733e36-6b1d-411c-b51c-bc7c339dd84b,,,,,,
24588b0f-42c3-4049-9c6e-01f7e62559c9.jpg,FILE_PATH.E62-0,,,,,,,24588b0f-42c3-4049-9c6e-01f7e62559c9.jpg,,,,,
24588b0f-42c3-4049-9c6e-01f7e62559c9.jpg,INFORMATION_CARRIER.E84-0,,,,,,,,e2ca29d9-bf19-4025-a11c-99860f2fde88,,,,
24588b0f-42c3-4049-9c6e-01f7e62559c9.jpg,RESOURCE_CREATION_EVENT.E65-0,,,,,,,,,4d4c617a-87f8-4fdc-b2c7-6331f1d5dc4c,,,
24588b0f-42c3-4049-9c6e-01f7e62559c9.jpg,THUMBNAIL.E62-1,,,,,,,,,,24588b0f-42c3-4049-9c6e-01f7e62559c9_thumbnail.jpg,,
24588b0f-42c3-4049-9c6e-01f7e62559c9.jpg,TITLE.E41-0-1714,,,,,,,,,,,Barnsdall Park - PHOTO,78e71e70-8009-40e2-a078-9a2ebf7a0e6f
2717ebfc-68a1-4821-8f22-d1b57f607c5e.jpg,EXTERNAL_RESOURCE.E1-0,,,,,2717ebfc-68a1-4821-8f22-d1b57f607c5e.jpg,3a733e36-6b1d-411c-b51c-bc7c339dd84b,,,,,,
2717ebfc-68a1-4821-8f22-d1b57f607c5e.jpg,FILE_PATH.E62-0,,,,,,,2717ebfc-68a1-4821-8f22-d1b57f607c5e.jpg,,,,,
2717ebfc-68a1-4821-8f22-d1b57f607c5e.jpg,INFORMATION_CARRIER.E84-0,,,,,,,,e2ca29d9-bf19-4025-a11c-99860f2fde88,,,,
2717ebfc-68a1-4821-8f22-d1b57f607c5e.jpg,RESOURCE_CREATION_EVENT.E65-0,,,,,,,,,4d4c617a-87f8-4fdc-b2c7-6331f1d5dc4c,,,
2717ebfc-68a1-4821-8f22-d1b57f607c5e.jpg,THUMBNAIL.E62-1,,,,,,,,,,2717ebfc-68a1-4821-8f22-d1b57f607c5e_thumbnail.jpg,,
